"8,865,712,469.30","1,140,461,125.00",28.92,18.95
"8,916,088,476.60","1,185,099,447.00",28.05,19.41
"8,987,676,075.00","1,202,507,248.00",24.84,19.32
"9,077,479,103.70","1,225,806,131.00",25.52,19.49
"9,193,360,915.60","1,234,204,589.00",27.07,19.51
"9,308,152,056.90","1,253,568,192.00",27.56,19.97
"9,289,651,453.30","1,271,869,033.00",28.37,20.44
"9,476,113,197.10","1,279,733,623.00",28.82,20.51
"9,642,300,460.70","1,297,785,923.00",28.49,20.76
"9,767,505,214.10","1,297,963,175.00",30.3,20.74
"9,735,209,359.50","1,319,564,114.00",29.3,21.92
"9,737,153,613.90","1,328,297,810.00",30.39,21.12
"9,730,907,178.80","1,352,884,571.00",29.25,22.5
"9,732,806,443.50","1,357,276,859.00",34.03,23.57
"9,623,990,150.60","1,368,472,205.00",34.42,25.92
"9,747,120,392.50","1,365,844,600.00",35.67,26.93
"10,286,492,485.80","1,373,113,722.00",36.68,29.37
"10,538,648,381.50","1,373,270,331.00",38.64,30.32
"10,728,710,001.60","1,380,776,193.00",38.78,32.9
"11,109,895,713.60","1,382,546,541.00",43.03,30.11
"11,189,211,707.60","1,391,881,287.00",46.11,30.84
"11,439,909,619.50","1,402,998,480.00",46.51,27.83
"11,721,297,738.70","1,400,958,928.00",46.1,26.04
"11,772,964,987.80","1,412,021,257.00",44.58,25.22
"11,924,870,710.60","1,414,532,943.00",45.54,24.24
"12,069,961,307.70","1,421,279,585.00",46.45,24.81
"12,189,415,952.70","1,418,446,852.00",45.78,24.85
"12,343,401,953.60","1,433,705,155.00",45.29,26.01
"12,293,330,356.90","1,438,070,901.00",50.86,30.27
"12,388,923,260.60","1,437,265,602.00",58.25,31.59
"12,511,189,843.20","1,428,863,173.00",57.62,33.51
"12,641,741,429.90","1,439,955,329.00",57.56,34.57
"12,666,105,926.50","1,448,089,782.00",57.46,37.15
"12,690,267,854.10","1,443,649,616.00",60.01,37.15
"12,791,065,891.20","1,452,633,857.00",59.22,37.9
"13,001,984,379.20","1,445,596,819.00",59.91,37.45
"13,093,467,551.30","1,457,324,090.00",58.43,37.53
"13,106,607,705.00","1,458,546,561.00",58.7,40.08
"13,202,047,473.20","1,462,031,348.00",59.05,40.58
"13,303,235,834.90","1,455,365,902.00",58.26,40.78
"13,416,124,412.20","1,469,492,065.00",58.61,41.76
"13,425,247,530.00","1,476,793,479.00",58.98,44.02
"13,448,915,394.40","1,482,470,495.00",59.92,44.94
"13,676,612,162.50","1,480,542,548.00",59.53,45.8
"13,904,532,198.00","1,497,294,553.00",59.69,46.37
"14,018,354,251.00","1,513,137,212.00",58.16,47.06
"13,853,771,732.50","1,515,629,094.00",62.08,46.48
"14,004,915,325.10","1,524,736,068.00",62.09,46.18
"14,174,618,220.40","1,513,347,162.00",60.75,45.9
